id,name,irish_name,county,country,eircode,grid_reference,easting,northing,latitude,longitude,postal_town,local_government_area,province,nuts3_region,type
1,Abartagh,Abartach,Waterford,Republic of Ireland,P36,X121851,212171,85195,52.01916,-7.82345,Youghal,Waterford City And County Council,Munster,South-East,Townland
2,Abberanville,Abberanville,Galway,Republic of Ireland,H62,M609232,160965,223221,53.25817,-8.58564,Loughrea,Galway County Council,Connacht,West,Townland
3,Abbernadoorny,,Donegal,Republic of Ireland,F94,G898822,189874,382219,54.68795,-8.15776,Donegal,Donegal County Council,Ulster,Border,Townland
4,Abbert,An Abart,Galway,Republic of Ireland,H54,M539410,153970,241071,53.41798,-8.69303,Tuam,Galway County Council,Connacht,West,Townland
5,Abbert Demesne,Diméin na hAbarta,Galway,Republic of Ireland,H54,M545421,154524,242155,53.42776,-8.68485,Tuam,Galway County Council,Connacht,West,Townland
6,Abbeville,Baile an Phíopaire,Tipperary,Republic of Ireland,E45,M957039,195720,203924,53.08619,-8.06461,Nenagh,Tipperary County Council,Munster,Mid-West,Townland
7,Abbey,An Mhainistir,Cork,Republic of Ireland,P75,V979480,97903,48095,51.67659,-9.47670,Bantry,Cork County Council,Munster,South-West,Townland
8,Abbey,An Mhainistir,Galway,Republic of Ireland,H62,M739066,173951,206684,53.11038,-8.38972,Loughrea,Galway County Council,Connacht,West,Townland
9,Abbey,An Mhainistir,Galway,Republic of Ireland,H54,M503439,150360,243954,53.44355,-8.74777,Tuam,Galway County Council,Connacht,West,Townland
10,Abbey,An Mhainistir,Galway,Republic of Ireland,H54,M502432,150241,243227,53.43701,-8.74945,Tuam,Galway County Council,Connacht,West,Town/Village
11,Abbey,An Mhainistir,Galway,Republic of Ireland,H62,M739059,173919,205904,53.10337,-8.39013,Loughrea,Galway County Council,Connacht,West,Town/Village
12,Abbey,An Mhainistir,Limerick,Republic of Ireland,V35,R687186,168741,118629,52.31887,-8.45913,Kilmallock,Limerick City And County Council,Munster,Mid-West,Townland
13,Abbeycartron,Cartrún na Mainistreach,Longford,Republic of Ireland,N39,N133761,213336,276138,53.73488,-7.79867,Longford,Longford County Council,Leinster,Midland,Townland
14,Abbeycartron,,Roscommon,Republic of Ireland,F45,M877886,187712,288601,53.84687,-8.18743,Castlerea,Roscommon County Council,Connacht,West,Townland
15,Abbeyderg,Mainistir Dhearg,Longford,Republic of Ireland,N39,N134650,213413,265052,53.63528,-7.79798,Longford,Longford County Council,Leinster,Midland,Townland
16,Abbeydorney,Mainistir Ó dTorna,Kerry,Republic of Ireland,V92,Q850229,85025,122958,52.34661,-9.68791,Tralee,Kerry County Council,Munster,South-West,Town/Village
17,Abbeydown,,Wexford,Republic of Ireland,Y21,S930609,293052,160938,52.69197,-6.62453,Enniscorthy,Wexford County Council,Leinster,South-East,Townland
18,Abbey East,An Mhainistir Thoir,Clare,Republic of Ireland,H91,M300098,130093,209822,53.13463,-9.04522,Galway,Clare County Council,Munster,Mid-West,Townland
19,Abbeyfarm,Feirm na Mainistreach,Limerick,Republic of Ireland,V35,R607281,160747,128173,52.40412,-8.57747,Kilmallock,Limerick City And County Council,Munster,Mid-West,Townland
20,Abbeyfeale,Mainistir na Féile,Limerick,Republic of Ireland,V94,R117268,111737,126811,52.38618,-9.29707,Limerick,Limerick City And County Council,Munster,Mid-West,Town/Village
21,Abbeyfeale East,Mainistir na Féile Thoir,Limerick,Republic of Ireland,V94,R120253,112002,125302,52.37266,-9.29278,Limerick,Limerick City And County Council,Munster,Mid-West,Townland
22,Abbeyfeale West,Mainistir na Féile Thiar,Limerick,Republic of Ireland,V94,R111259,111170,125927,52.37814,-9.30517,Limerick,Limerick City And County Council,Munster,Mid-West,Townland
23,Abbeyfield,An Mhainistir,Galway,Republic of Ireland,H53,M732313,173237,231392,53.33235,-8.40244,Ballinasloe,Galway County Council,Connacht,West,Townland
24,Abbeygormacan,Mainistir Ó gCormacáin,Galway,Republic of Ireland,H53,M764182,176438,218234,53.21428,-8.35342,Ballinasloe,Galway County Council,Connacht,West,Townland
25,Abbeygrove,Garrán na Manach,Kilkenny,Republic of Ireland,R95,S576530,257649,153018,52.62573,-7.14942,Kilkenny,Kilkenny County Council,Leinster,South-East,Townland
26,Abbeyhalfquarter,,Mayo,Republic of Ireland,F26,G252189,125214,318917,54.11395,-9.14431,Ballina,Mayo County Council,Connacht,West,Townland
27,Abbey Island,,Donegal,Republic of Ireland,F94,G870622,187084,362262,54.50860,-8.20015,Donegal,Donegal County Council,Ulster,Border,Townland
28,Abbey Island,,Kerry,Republic of Ireland,V23,V515580,51561,58061,51.75577,-10.15046,Caherciveen,Kerry County Council,Munster,South-West,Townland
29,Abbeyland,,Cavan,Republic of Ireland,H12,H419048,241945,304813,53.99098,-7.36126,Cavan,Cavan County Council,Ulster,Border,Townland
30,Abbeyland,Fearann na Mainistreach,Kildare,Republic of Ireland,R14,S779839,277994,183956,52.90114,-6.84169,Athy,Kildare County Council,Leinster,Mid-East,Townland
31,Abbeyland,,Kildare,Republic of Ireland,W91,N879273,287942,227382,53.28970,-6.68202,Naas,Kildare County Council,Leinster,Mid-East,Townland
